"breed","group","score","longevity","ailments","purchase_price","grooming","children","size","weight","height","repetition"
"Petit Basset Griffon Vendeen","hound",NA,12.7,0,400,NA,NA,"small",NA,36,"40-80"
"Plott","hound",NA,NA,0,NA,NA,NA,"medium",23,57,NA
"Polish Lowland Sheepdog","herding",NA,10.8,NA,NA,2,2,"medium",NA,47,NA
"Portuguese Water Dog","working",NA,11.42,0,NA,NA,NA,"medium",22,51,NA
"Puli","herding",NA,NA,0,913,NA,NA,"medium",NA,42,"15-25"
"Pyrenean Shepherd","herding",NA,NA,NA,NA,NA,NA,"medium",NA,46,NA
"Redbone Coonhound","hound",NA,NA,0,425,NA,NA,"large",NA,61,NA
"Schipperke","non-sporting",NA,13,4,658,NA,NA,"small",NA,29,"5-15"
"Scottish Deerhound","hound",NA,8.7,2,NA,NA,NA,"large",42,NA,"25-40"
"Sealyham Terrier","terrier",NA,12.25,1,NA,NA,NA,"small",11,27,"40-80"
"Shiba Inu","non-sporting",NA,7,1,890,NA,NA,"small",9,38,NA
"Silky Terrier","toy",NA,14.25,0,448,NA,NA,"small",5,24,"15-25"
"Skye Terrier","terrier",NA,11,0,550,NA,NA,"small",18,25,"40-80"
"Smooth Fox Terrier","terrier",NA,13.17,0,575,NA,NA,"small",8,38,"25-40"
"Soft-Coated Wheaten Terrier","terrier",NA,12.16,0,832,NA,NA,"medium",16,46,"25-40"
"Spinone Italiano","sporting",NA,9,NA,1725,NA,NA,"large",NA,62,NA
"Standard Schnauzer","working",NA,NA,1,855,NA,NA,"medium",NA,47,"5-15"
"Sussex Spaniel","sporting",NA,11.17,0,NA,2,3,"small",18,36,NA
"Swedish Vallhund","herding",NA,14.17,NA,772,2,1,"small",NA,32,NA
"Tibetan Mastiff","working",NA,11.92,NA,3460,2,1,"large",NA,64,NA
"Toy Fox Terrier","toy",NA,NA,NA,460,NA,NA,"small",NA,25,NA
"Vizsla","sporting",NA,12.5,0,935,NA,NA,"medium",NA,57,"5-15"
"Weimaraner","sporting",NA,NA,1,562,2,1,"large",NA,64,"5-15"
"Welsh Terrier","terrier",NA,NA,0,843,2,1,"small",9,38,"25-40"
"Wire Fox Terrier","terrier",NA,13.17,0,668,NA,NA,"small",8,38,"25-40"
"Wirehaired Pointing Griffon","sporting",NA,8.8,0,755,NA,NA,"medium",NA,56,"25-40"
"Xoloitzcuintli","non-sporting",NA,NA,NA,717,NA,NA,"medium",NA,42,NA
